Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\shepherd_v2_nRF_FRAM_Target\Project Outputs\Pick Place\Pick Place for target_1.2.csv

========================================================================================================================
File Design Information:

Date:       28.03.24
Time:       14:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer PN","Value"
"X4","ECX-.327-CDX-1293","TopLayer","XTAL_ECS-32x15","6,6000","20,1000","270","ECX-.327-CDX-1293","32.768 kHz"
"X3","ECX-.327-CDX-1293","TopLayer","XTAL_ECS-32x15","19,0000","20,1000","90","ECX-.327-CDX-1293","32.768 kHz"
"X2","ECS-320-12-37B2-7KM","TopLayer","XTAL_ECS_20x16_4L","22,0000","12,4000","0","ECS-320-12-37B2-7KM-TR","32 MHz"
"X1","ECX-.327-CDX-1293","TopLayer","XTAL_ECS-32x15","12,5000","9,3000","90","ECX-.327-CDX-1293","32.768 kHz"
"U3","UD_AB1805","TopLayer","QFN50P300X300X100_HS-17N","10,1000","21,3000","90","AB1805-T3",""
"U2","UD_MSP430FR5994","TopLayer","BGA121C50P11X11_600X600X100","23,1000","20,5000","180","MSP430FR5994IZVWR",""
"U1","UD_nRF52840","TopLayer","BGAS73C25P24X24_700X700X85","17,5000","7,5000","0","nRF52840-QIAA",""
"T3","T_BSH105","TopLayer","SOT95P230X110-3N","7,0000","13,2000","180","BSH105,215",""
"T1","T_BSH105","TopLayer","SOT95P230X110-3N","7,0000","6,5000","180","BSH105,215",""
"R57","R_0402_470R","TopLayer","RESC1005X04","21,5000","15,6000","90","ERJ-2RKF4700X","470R"
"R56","R_0402_470R","TopLayer","RESC1005X04","22,4000","6,1000","0","ERJ-2RKF4700X","470R"
"R55","R_0402_470R","TopLayer","RESC1005X04","20,5000","15,6000","90","ERJ-2RKF4700X","470R"
"R54","R_0402_470R","TopLayer","RESC1005X04","27,4000","19,0000","180","ERJ-2RKF4700X","470R"
"R53","R_0402_470R","TopLayer","RESC1005X04","23,5000","15,6000","270","ERJ-2RKF4700X","470R"
"R52","R_0402_240R","BottomLayer","RESC1005X04","6,5000","7,0000","0","ERJ-2GEJ241X","240R"
"R51","R_0402_240R","BottomLayer","RESC1005X04","6,5000","6,0000","180","ERJ-2GEJ241X","240R"
"R50","R_0402_240R","BottomLayer","RESC1005X04","11,6000","23,8000","0","ERJ-2GEJ241X","240R"
"R49","R_0402_240R","BottomLayer","RESC1005X04","16,6000","20,8000","0","ERJ-2GEJ241X","240R"
"R48","R_0402_100R","TopLayer","RESC1005X04","6,3000","15,3000","180","ERJ-2GEJ101X","100R"
"R47","R_0402_240R","BottomLayer","RESC1005X04","18,2000","15,6000","0","ERJ-2GEJ241X","240R"
"R46","R_0402_240R","BottomLayer","RESC1005X04","3,9000","2,5000","0","ERJ-2GEJ241X","240R"
